hotel_name,city,country,stars,rating,price_per_night,currency,amenities,contact_email
Royal New York Palace,New York,USA,2,3.8,,,"Pool, Spa, WiFi",
Modern New York Tower,New York,USA,5,3.4,121,USD,"Pool, WiFi, Breakfast Included",stay@modernnewyorktower.com
Pacific Seoul Lodge,Seoul,South Korea,,3.6,141171,KRW,"WiFi, Restaurant, Bar",
Luxury Tokyo Palace,Tokyo,Japan,,3.7,20478,JPY,"Pool, WiFi, Gym",stay@luxurytokyopalace.com
The Manila Tower,Manila,Philippines,4,4.3,5177,PHP,"Spa, WiFi, Bar",stay@themanilatower.com
Grand Manila Suites,Manila,Philippines,5,3.8,5121,PHP,"Pool, WiFi, Breakfast Included",stay@grandmanilasuites.com
Elite Kuala Lumpur Haven,Kuala Lumpur,Malaysia,4,4.5,111,MYR,,stay@elitekualalumpurhaven.com
Royal Hong Kong Retreat,Hong Kong,Hong Kong,3,4.8,5216,HKD,"Pool, WiFi, Breakfast Included",stay@royalhongkongretreat.com
Classic Singapore Lodge,Singapore,Singapore,4,3.4,444,SGD,"Conference Room, WiFi",stay@classicsingaporelodge.com
The Barcelona Resort,Barcelona,Spain,2,3.9,200,EUR,"Rooftop Bar, WiFi",
,Hong Kong,Hong Kong,,,,,,
Classic Singapore Tower,Singapore,Singapore,5,4.1,563,SGD,"Pool, WiFi, Breakfast Included",stay@classicsingaporetower.com
Elite Tokyo Suites,Tokyo,Japan,2,3.4,,,"Conference Room, WiFi",
,Seoul,South Korea,,,,,,
Premier Sydney Residences,Sydney,Australia,2,3.9,191,AUD,"Rooftop Bar, WiFi",stay@premiersydneyresidences.com
The Sydney Palace,Sydney,Australia,3,3.7,263,AUD,"Pool, Gym, Restaurant",stay@thesydneypalace.com
Luxury Singapore Residences,Singapore,Singapore,3,3.2,643,SGD,"Pool, Gym, Restaurant",stay@luxurysingaporeresidences.com
Premier Paris Palace,Paris,France,,4.1,117,EUR,,stay@premierparispalace.com
Premier Bangkok Retreat,Bangkok,Thailand,,,8642,THB,"Pool, WiFi, Breakfast Included",stay@premierbangkokretreat.com
Plaza Barcelona Residences,Barcelona,Spain,5,4.8,95,EUR,"Business Center, WiFi",stay@plazabarcelonaresidences.com
Grand Tokyo Residences,Tokyo,Japan,4,3.7,52676,JPY,"Pool, Spa, WiFi",stay@grandtokyoresidences.com
,Hong Kong,Hong Kong,,,,,,
Luxury New York Retreat,New York,USA,,3.4,684,USD,"WiFi, Restaurant, Bar",stay@luxurynewyorkretreat.com
Royal Barcelona Resort,Barcelona,Spain,4,,253,EUR,"Conference Room, WiFi",stay@royalbarcelonaresort.com
Royal Hong Kong Inn,Hong Kong,Hong Kong,4,4.2,5495,HKD,"Rooftop Bar, WiFi",stay@royalhongkonginn.com
Heritage Manila Resort,Manila,Philippines,5,,8982,PHP,,stay@heritagemanilaresort.com
Modern Sydney Manor,Sydney,Australia,3,3.5,506,AUD,"Conference Room, WiFi",stay@modernsydneymanor.com
Classic New York Lodge,New York,USA,5,3.9,409,USD,"Spa, WiFi, Bar",stay@classicnewyorklodge.com
Pacific Kuala Lumpur Haven,Kuala Lumpur,Malaysia,4,3.9,123,MYR,"Pool, Gym, Restaurant",stay@pacifickualalumpurhaven.com
Grand Tokyo Boutique,Tokyo,Japan,5,3.3,,,"Airport Shuttle, WiFi, Pool",stay@grandtokyoboutique.com
Modern Hong Kong Manor,Hong Kong,Hong Kong,5,,4716,HKD,,stay@modernhongkongmanor.com
,Manila,Philippines,,,,,,
Royal Manila Hotel,Manila,Philippines,2,4.8,6512,PHP,,stay@royalmanilahotel.com
Luxury Singapore Residences,Singapore,Singapore,,,313,SGD,"Airport Shuttle, WiFi, Pool",stay@luxurysingaporeresidences.com
Urban Singapore Palace,Singapore,Singapore,3,3.6,328,SGD,"Airport Shuttle, WiFi, Pool",stay@urbansingaporepalace.com
The Hong Kong Residences,Hong Kong,Hong Kong,4,,1586,HKD,"Business Center, WiFi",stay@thehongkongresidences.com
Heritage London Manor,London,UK,,3.4,336,GBP,,stay@heritagelondonmanor.com
Grand Barcelona Haven,Barcelona,Spain,,4.5,137,EUR,,
Grand Barcelona Haven,Barcelona,Spain,4,4.5,,,"WiFi, Restaurant, Bar",stay@grandbarcelonahaven.com
,Barcelona,Spain,,,,,,
Pacific Paris Retreat,Paris,France,5,3.6,364,EUR,"Airport Shuttle, WiFi, Pool",stay@pacificparisretreat.com
Heritage Manila Haven,Manila,Philippines,2,3.8,3211,PHP,"Airport Shuttle, WiFi, Pool",stay@heritagemanilahaven.com
Luxury London Residences,London,UK,5,4.5,127,GBP,"Business Center, WiFi",stay@luxurylondonresidences.com
